sensor_status,sensor_errors
0,
1,Lightning failed
2,Lightning noise
3,"Lightning failed,Lightning noise"
4,Lightning disturber
5,"Lightning failed,Lightning disturber"
6,"Lightning noise,Lightning disturber"
7,"Lightning failed,Lightning noise,Lightning disturber"
8,Pressure
9,"Lightning failed,Pressure"
10,"Lightning noise,Pressure"
11,"Lightning failed,Lightning noise,Pressure"
12,"Lightning disturber,Pressure"
13,"Lightning failed,Lightning disturber,Pressure"
14,"Lightning noise,Lightning disturber,Pressure"
15,"Lightning failed,Lightning noise,Lightning disturber,Pressure"
16,Temperature
17,"Lightning failed,Temperature"
18,"Lightning noise,Temperature"
19,"Lightning failed,Lightning noise,Temperature"
20,"Lightning disturber,Temperature"
21,"Lightning failed,Lightning disturber,Temperature"
22,"Lightning noise,Lightning disturber,Temperature"
23,"Lightning failed,Lightning noise,Lightning disturber,Temperature"
24,"Pressure,Temperature"
25,"Lightning failed,Pressure,Temperature"
26,"Lightning noise,Pressure,Temperature"
27,"Lightning failed,Lightning noise,Pressure,Temperature"
28,"Lightning disturber,Pressure,Temperature"
29,"Lightning failed,Lightning disturber,Pressure,Temperature"
30,"Lightning noise,Lightning disturber,Pressure,Temperature"
31,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature"
32,RH
33,"Lightning failed,RH"
34,"Lightning noise,RH"
35,"Lightning failed,Lightning noise,RH"
36,"Lightning disturber,RH"
37,"Lightning failed,Lightning disturber,RH"
38,"Lightning noise,Lightning disturber,RH"
39,"Lightning failed,Lightning noise,Lightning disturber,RH"
40,"Pressure,RH"
41,"Lightning failed,Pressure,RH"
42,"Lightning noise,Pressure,RH"
43,"Lightning failed,Lightning noise,Pressure,RH"
44,"Lightning disturber,Pressure,RH"
45,"Lightning failed,Lightning disturber,Pressure,RH"
46,"Lightning noise,Lightning disturber,Pressure,RH"
47,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH"
48,"Temperature,RH"
49,"Lightning failed,Temperature,RH"
50,"Lightning noise,Temperature,RH"
51,"Lightning failed,Lightning noise,Temperature,RH"
52,"Lightning disturber,Temperature,RH"
53,"Lightning failed,Lightning disturber,Temperature,RH"
54,"Lightning noise,Lightning disturber,Temperature,RH"
55,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH"
56,"Pressure,Temperature,RH"
57,"Lightning failed,Pressure,Temperature,RH"
58,"Lightning noise,Pressure,Temperature,RH"
59,"Lightning failed,Lightning noise,Pressure,Temperature,RH"
60,"Lightning disturber,Pressure,Temperature,RH"
61,"Lightning failed,Lightning disturber,Pressure,Temperature,RH"
62,"Lightning noise,Lightning disturber,Pressure,Temperature,RH"
63,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH"
64,Wind
65,"Lightning failed,Wind"
66,"Lightning noise,Wind"
67,"Lightning failed,Lightning noise,Wind"
68,"Lightning disturber,Wind"
69,"Lightning failed,Lightning disturber,Wind"
70,"Lightning noise,Lightning disturber,Wind"
71,"Lightning failed,Lightning noise,Lightning disturber,Wind"
72,"Pressure,Wind"
73,"Lightning failed,Pressure,Wind"
74,"Lightning noise,Pressure,Wind"
75,"Lightning failed,Lightning noise,Pressure,Wind"
76,"Lightning disturber,Pressure,Wind"
77,"Lightning failed,Lightning disturber,Pressure,Wind"
78,"Lightning noise,Lightning disturber,Pressure,Wind"
79,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Wind"
80,"Temperature,Wind"
81,"Lightning failed,Temperature,Wind"
82,"Lightning noise,Temperature,Wind"
83,"Lightning failed,Lightning noise,Temperature,Wind"
